Model,HyperParemeters,Scaler,Test Size,Outlier Handling,Fit Time(s),Top Attributes,Test RMSLE
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.32692646980285645,15,0.16278727841318671
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,63.52021408081055,5,0.16308026022474534
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.3299562931060791,30,0.1663841139413735
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,510.6738793849945,5,0.1679855575110734
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.3014261722564697,20,0.17080957272702704
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,5.328092098236084,5,0.1753290513988066
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.31980538368225103,35,0.17655827782041464
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.33202362060546875,25,0.17899769845971236
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.4363605976104736,10,0.17940573706200866
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.3701438903808594,5,0.1990382983064629
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,18.521979570388797,70,0.2106154263994552
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,498.92877674102783,1,0.22203938935342865
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,64.78502750396729,1,0.2224717517995917
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,5.226074457168579,1,0.22260720657862512
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.37485408782958973,1,0.23990839997267285
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,18.129690408706665,50,0.2463295887226721
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,17.68096351623535,60,0.2464822592620797
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,18.860082626342773,40,0.24689332565815855
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,18.860253810882572,35,0.24821650578113186
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,18.670323133468628,30,0.2487681779736669
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,18.599912166595463,25,0.26933601296627163
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,17.79976463317871,20,0.27826016850476265
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,17.762772798538208,15,0.2880187074175274
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,17.94170880317688,10,0.29688144077232176
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,21.075050115585327,5,0.3215567340528797
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,21.045068264007572,1,0.3771648886024328
LinearRegression,(),None,0.1,YeoJonson,0.5803191661834717,30,0.3802797254609163
LinearRegression,(),None,0.1,YeoJonson,0.6049261093139648,35,0.3870345130767439
LinearRegression,(),None,0.1,YeoJonson,0.5851988792419434,25,0.3900366425103761
LinearRegression,(),None,0.1,YeoJonson,0.5607066154479979,15,0.39186575527053774
LinearRegression,(),None,0.1,YeoJonson,0.6201791763305664,5,0.3937418074087314
LinearRegression,(),None,0.1,YeoJonson,0.5863626003265381,20,0.3945234323711681
LinearRegression,(),None,0.1,YeoJonson,0.585798978805542,10,0.3957961862342597
LinearRegression,(),None,0.1,YeoJonson,0.610034704208374,1,0.4295006282496561
LinearRegression,(),None,0.1,YeoJonson,0.5636985301971436,70,1.815002922461195
LinearRegression,(),None,0.1,YeoJonson,0.5782859325408936,60,2.2928469012004316
LinearRegression,(),None,0.1,YeoJonson,0.590076208114624,40,2.3963861430866533
LinearRegression,(),None,0.1,YeoJonson,0.5702168941497803,50,2.4719747088868376
