Model,HyperParemeters,Scaler,Test Size,Outlier Handling,Fit Time(s),Top Attributes,Test RMSLE
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,16.876346588134766,20,0.14719695518666104
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,1.2259273529052734,15,0.14796116462788986
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,19.19989323616028,35,0.1518879977120964
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,0.9700496196746826,10,0.15236670248677056
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,17.609889268875122,25,0.15373966830916494
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,15.307071208953857,15,0.154161840368229
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.030118942260742188,100,0.15526531016493644
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.39981746673583984,100,0.1587284933147734
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.01996469497680664,80,0.1621692480672457
LinearRegression,(),None,0.1,YeoJonson,0.029691696166992188,100,0.1625588564039179
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.009632587432861328,60,0.1654808388160121
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.28975486755371094,60,0.1657436401550685
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.015620708465576172,70,0.16603361529167823
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.32955265045166016,80,0.16613661054452383
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.2702012062072754,70,0.16633393232096128
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.24665069580078125,50,0.16689057297446755
LinearRegression,(),None,0.1,YeoJonson,0.01517939567565918,80,0.16847454828742556
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.1999521255493164,35,0.16870199221950574
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.02037358283996582,50,0.16908703400804498
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.010115861892700195,35,0.1697415631196168
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.02008366584777832,70,0.17003058830419032
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,12.620052099227905,10,0.17022455065075315
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.16019654273986816,25,0.17070896911412997
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.029998779296875,100,0.1710723493664501
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.17909741401672363,30,0.1713694572517741
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.0,10,0.17151658141634626
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.01021718978881836,60,0.1718592516131872
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.22005963325500488,40,0.17294258835861503
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.009975433349609375,40,0.1741356726864184
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.13465046882629395,20,0.17422681241055113
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.029976606369018555,80,0.17436783658749302
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.010067462921142578,40,0.17467904527262224
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.009816169738769531,30,0.17828188405579704
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,0.5395748615264893,5,0.17846618622882926
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.014592885971069336,50,0.1787246526488046
LinearRegression,(),None,0.1,YeoJonson,0.029718399047851562,60,0.1794064827590479
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.010442495346069336,20,0.18027339023392208
LinearRegression,(),None,0.1,YeoJonson,0.019852876663208008,70,0.18138618121728028
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.00970005989074707,35,0.18151091763884988
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.009568214416503906,30,0.1830993409161208
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.1298844814300537,15,0.1847786776434932
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.0025560855865478516,25,0.18556956151673998
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.0,15,0.18565521186492995
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.009975910186767578,25,0.1860774730486215
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.09971904754638672,10,0.18887142645222119
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.0,5,0.19125831626035156
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.0,20,0.19304067651291246
LinearRegression,(),None,0.1,YeoJonson,0.010062694549560547,40,0.19591370941729344
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.0,5,0.1969756550076531
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.05984997749328613,5,0.1998409793488611
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.0,10,0.20696557622039363
LinearRegression,(),None,0.1,YeoJonson,0.004528045654296875,35,0.20740169628579128
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.0050961971282958984,15,0.2086262783665468
LinearRegression,(),None,0.1,YeoJonson,0.10003232955932617,50,0.2087610589561548
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,2.0948398113250732,100,0.21049553042535254
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,2.1001272201538086,70,0.21069387875106324
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,1.2998111248016357,80,0.21078993010603114
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,1.8800437450408936,60,0.2148121146147609
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,1.4263956546783447,50,0.21544609183156727
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,1.685046672821045,40,0.2160939984862864
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,4.100158929824829,35,0.21679011347413338
LinearRegression,(),None,0.1,YeoJonson,0.05010986328125,30,0.21706367412833097
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,1.1597113609313965,30,0.2211329713894656
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,2.280369997024536,25,0.22118302211513013
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,1.369964599609375,1,0.22203938935342865
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,0.5196082592010498,20,0.22222715462484174
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,0.3201887607574463,1,0.22308991181993085
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,11.659743785858154,5,0.22793679605422357
LinearRegression,(),None,0.1,YeoJonson,0.0,25,0.228731562012348
LinearRegression,(),None,0.1,YeoJonson,0.0,5,0.22903333738255072
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,1.0901193618774414,15,0.22974570854992435
KNeighborsRegressor,"(algorithm='kd_tree', p=1.1, weights='distance')",StandardScaler,0.1,Replace,0.0,1,0.23343322374995787
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.0,1,0.23990839997267283
AdaBoostRegressor,(base_estimator=ElasticNet,StandardScaler,0.3,Replace,0.12482213973999023,1,0.2573101010228256
LinearRegression,(),None,0.1,YeoJonson,0.0,1,0.2614012950116028
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,1.029719591140747,10,0.26313395669265754
LinearRegression,(),None,0.1,YeoJonson,0.0,20,0.27071194793863196
LinearRegression,(),None,0.1,YeoJonson,0.00993490219116211,15,0.2743056861378021
LinearRegression,(),None,0.1,YeoJonson,0.0,10,0.2917981906347419
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,0.055017709732055664,5,0.3601025103720868
SVR,"(C=4, kernel='linear', shrinking=False)",None,0.1,Log,0.05989551544189453,1,0.37716488860243275
